,report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
2553,2012,NM00101,"Albuquerque, NM",553684.0,4151.0,41.0,278.0,2740.0,1092.0,12.0,749.71,7.4,50.21,494.87,197.22
2555,2012,GAAPD00,"Atlanta, GA",437041.0,6027.0,83.0,113.0,3555.0,2276.0,12.0,1379.05,18.99,25.86,813.42,520.77
2560,2012,MA01301,"Boston, MA",630648.0,5266.0,57.0,249.0,3050.0,1910.0,12.0,835.01,9.04,39.48,483.63,302.86
2562,2012,NC06001,"Charlotte, NC",808504.0,5238.0,52.0,223.0,3165.0,1798.0,12.0,647.86,6.43,27.58,391.46,222.39
2563,2012,ILCPD00,"Chicago, IL",2708382.0,27620.0,500.0,1372.0,12272.0,13476.0,12.0,1019.8,18.46,50.66,453.11,497.57
2567,2012,TXDPD00,"Dallas, TX",1241549.0,8380.0,154.0,486.0,3647.0,4093.0,12.0,674.96,12.4,39.14,293.75,329.67
2568,2012,CODPD00,"Denver, CO",628545.0,3885.0,39.0,383.0,2295.0,1168.0,12.0,618.09,6.2,60.93,365.13,185.83
2569,2012,MI82349,"Detroit, MI",707096.0,15023.0,386.0,442.0,9345.0,4850.0,12.0,2124.61,54.59,62.51,1321.6,685.9
2575,2012,TXHPD00,"Houston, TX",2177273.0,21610.0,217.0,665.0,11343.0,9385.0,12.0,992.53,9.97,30.54,520.97,431.04
2576,2012,INIPD00,"Indianapolis, IN",838650.0,9942.0,97.0,436.0,5967.0,3442.0,12.0,1185.48,11.57,51.99,711.5,410.42
2577,2012,FL01602,"Jacksonville, FL",840660.0,5189.0,93.0,341.0,3384.0,1371.0,12.0,617.25,11.06,40.56,402.54,163.09
2578,2012,MOKPD00,"Kansas City, MO",464073.0,5889.0,105.0,257.0,3879.0,1648.0,12.0,1268.98,22.63,55.38,835.86,355.12
2579,2012,NV00201,"Las Vegas, NV",1479393.0,11598.0,76.0,596.0,7102.0,3824.0,12.0,783.97,5.14,40.29,480.06,258.48
2581,2012,CA01900,"Los Angeles County, CA",1074864.0,5458.0,75.0,161.0,3732.0,1490.0,12.0,507.79,6.98,14.98,347.21,138.62
2582,2012,CA01942,"Los Angeles, CA",3855122.0,18547.0,299.0,936.0,8329.0,8983.0,12.0,481.1,7.76,24.28,216.05,233.01
2586,2012,FL01300,"Miami-Dade County, FL",1144280.0,6046.0,81.0,267.0,4012.0,1686.0,12.0,528.37,7.08,23.33,350.61,147.34
2587,2012,FL01306,"Miami, FL",414327.0,4856.0,69.0,65.0,2626.0,2096.0,12.0,1172.02,16.65,15.69,633.8,505.88
2589,2012,MN02711,"Minneapolis, MN",390240.0,3872.0,39.0,403.0,1711.0,1719.0,12.0,992.21,9.99,103.27,438.45,440.5
2591,2012,TN01901,"Nashville, TN",620886.0,7314.0,63.0,303.0,5232.0,1716.0,12.0,1177.99,10.15,48.8,842.67,276.38
2594,2012,NY03030,"New York City, NY",8289415.0,52993.0,419.0,1162.0,31211.0,20201.0,12.0,639.29,5.05,14.02,376.52,243.7
2600,2012,PAPEP00,"Philadelphia, PA",1538957.0,17853.0,331.0,880.0,8658.0,7984.0,12.0,1160.07,21.51,57.18,562.59,518.79
2601,2012,AZ00723,"Phoenix, AZ",1485509.0,9458.0,123.0,556.0,5263.0,3516.0,12.0,636.68,8.28,37.43,354.29,236.69
2602,2012,PAPPD00,"Pittsburgh, PA",312112.0,2347.0,41.0,47.0,1125.0,1134.0,12.0,751.97,13.14,15.06,360.45,363.33
2603,2012,OR02602,"Portland, OR",598037.0,3093.0,20.0,231.0,1892.0,950.0,12.0,517.19,3.34,38.63,316.37,158.85
2609,2012,CA03711,"San Diego, CA",1338477.0,5529.0,47.0,304.0,3661.0,1517.0,12.0,413.08,3.51,22.71,273.52,113.34
2610,2012,CA03801,"San Francisco, CA",820363.0,5777.0,69.0,108.0,2116.0,3484.0,12.0,704.2,8.41,13.16,257.93,424.69
2612,2012,WASPD00,"Seattle, WA",626865.0,3782.0,25.0,123.0,2198.0,1436.0,12.0,603.32,3.99,19.62,350.63,229.08
2613,2012,MOSPD00,"St. Louis, MO",318667.0,5661.0,113.0,199.0,3571.0,1778.0,12.0,1776.46,35.46,62.45,1120.61,557.95
2622,2013,NM00101,"Albuquerque, NM",558165.0,4325.0,37.0,439.0,2803.0,1046.0,12.0,774.86,6.63,78.65,502.18,187.4
2624,2013,GAAPD00,"Atlanta, GA",451020.0,5516.0,83.0,105.0,2965.0,2363.0,12.0,1223.01,18.4,23.28,657.4,523.92
2629,2013,MA01301,"Boston, MA",643799.0,5037.0,39.0,279.0,2851.0,1868.0,12.0,782.39,6.06,43.34,442.84,290.15
2631,2013,NC06001,"Charlotte, NC",837638.0,5093.0,59.0,230.0,2999.0,1805.0,12.0,608.02,7.04,27.46,358.03,215.49
2632,2013,ILCPD00,"Chicago, IL",2720554.0,25688.0,416.0,1338.0,12108.0,11826.0,12.0,944.22,15.29,49.18,445.06,434.69
2636,2013,TXDPD00,"Dallas, TX",1255015.0,8330.0,143.0,543.0,3442.0,4202.0,12.0,663.74,11.39,43.27,274.26,334.82
2637,2013,CODPD00,"Denver, CO",648981.0,4093.0,41.0,519.0,2400.0,1133.0,12.0,630.68,6.32,79.97,369.81,174.58
2638,2013,MI82349,"Detroit, MI",699889.0,14501.0,316.0,613.0,8801.0,4771.0,12.0,2071.9,45.15,87.59,1257.49,681.68
2644,2013,TXHPD00,"Houston, TX",2180606.0,20993.0,214.0,618.0,10270.0,9891.0,12.0,962.71,9.81,28.34,470.97,453.59
2645,2013,INIPD00,"Indianapolis, IN",850220.0,10479.0,129.0,656.0,5894.0,3800.0,12.0,1232.5,15.17,77.16,693.23,446.94
2646,2013,FL01602,"Jacksonville, FL",845745.0,5246.0,93.0,452.0,3277.0,1424.0,12.0,620.28,11.0,53.44,387.47,168.37
2647,2013,MOKPD00,"Kansas City, MO",465514.0,5876.0,99.0,392.0,3719.0,1666.0,12.0,1262.26,21.27,84.21,798.9,357.88
2648,2013,NV00201,"Las Vegas, NV",1500455.0,11374.0,97.0,705.0,6500.0,4072.0,12.0,758.04,6.46,46.99,433.2,271.38
2650,2013,CA01900,"Los Angeles County, CA",1064190.0,5323.0,72.0,171.0,3723.0,1357.0,12.0,500.19,6.77,16.07,349.84,127.51
2651,2013,CA01942,"Los Angeles, CA",3878725.0,16524.0,251.0,764.0,7624.0,7885.0,12.0,426.02,6.47,19.7,196.56,203.29
2655,2013,FL01300,"Miami-Dade County, FL",1171120.0,6057.0,87.0,448.0,3661.0,1861.0,12.0,517.2,7.43,38.25,312.61,158.91
2656,2013,FL01306,"Miami, FL",418394.0,4945.0,71.0,96.0,2562.0,2216.0,12.0,1181.9,16.97,22.94,612.34,529.64
2658,2013,MN02711,"Minneapolis, MN",396206.0,4038.0,36.0,385.0,1761.0,1856.0,12.0,1019.17,9.09,97.17,444.47,468.44
2660,2013,TN01901,"Nashville, TN",635673.0,6667.0,35.0,463.0,4556.0,1613.0,12.0,1048.81,5.51,72.84,716.72,253.75
2663,2013,NY03030,"New York City, NY",8396126.0,52384.0,335.0,1112.0,31767.0,19170.0,12.0,623.91,3.99,13.24,378.35,228.32
2669,2013,PAPEP00,"Philadelphia, PA",1553153.0,17074.0,247.0,1279.0,7986.0,7562.0,12.0,1099.31,15.9,82.35,514.18,486.88
2670,2013,AZ00723,"Phoenix, AZ",1502139.0,9492.0,118.0,635.0,5506.0,3233.0,12.0,631.9,7.86,42.27,366.54,215.23
2671,2013,PAPPD00,"Pittsburgh, PA",307632.0,2259.0,45.0,78.0,1180.0,956.0,12.0,734.32,14.63,25.35,383.58,310.76
2672,2013,OR02602,"Portland, OR",609136.0,2941.0,14.0,234.0,1776.0,917.0,12.0,482.82,2.3,38.42,291.56,150.54
2678,2013,CA03711,"San Diego, CA",1349306.0,5303.0,39.0,316.0,3492.0,1456.0,12.0,393.02,2.89,23.42,258.8,107.91
2679,2013,CA03801,"San Francisco, CA",833863.0,7064.0,48.0,161.0,2653.0,4202.0,12.0,847.14,5.76,19.31,318.16,503.92
2681,2013,WASPD00,"Seattle, WA",642814.0,3760.0,18.0,154.0,1986.0,1602.0,12.0,584.93,2.8,23.96,308.95,249.22
2682,2013,MOSPD00,"St. Louis, MO",318563.0,5077.0,120.0,333.0,3167.0,1457.0,12.0,1593.72,37.67,104.53,994.15,457.37
2691,2014,NM00101,"Albuquerque, NM",558874.0,4934.0,30.0,402.0,3121.0,1381.0,12.0,882.85,5.37,71.93,558.44,247.1
2693,2014,GAAPD00,"Atlanta, GA",454363.0,5577.0,93.0,151.0,3004.0,2329.0,12.0,1227.43,20.47,33.23,661.15,512.59
2698,2014,MA01301,"Boston, MA",654413.0,4749.0,53.0,280.0,2736.0,1680.0,12.0,725.69,8.1,42.79,418.08,256.72
2700,2014,NC06001,"Charlotte, NC",856916.0,5054.0,47.0,210.0,3211.0,1586.0,12.0,589.79,5.48,24.51,374.72,185.08
2701,2014,ILCPD00,"Chicago, IL",2724121.0,24133.0,415.0,1388.0,12530.0,9800.0,12.0,885.9,15.23,50.95,459.96,359.75
2705,2014,TXDPD00,"Dallas, TX",1272396.0,8457.0,116.0,781.0,3704.0,3856.0,12.0,664.65,9.12,61.38,291.1,303.05
2706,2014,CODPD00,"Denver, CO",665353.0,4002.0,31.0,471.0,2412.0,1088.0,12.0,601.49,4.66,70.79,362.51,163.52
2707,2014,MI82349,"Detroit, MI",684694.0,13622.0,298.0,557.0,9194.0,3573.0,12.0,1989.5,43.52,81.35,1342.79,521.84
2713,2014,TXHPD00,"Houston, TX",2219933.0,22008.0,242.0,812.0,10768.0,10186.0,12.0,991.38,10.9,36.58,485.06,458.84
2714,2014,INIPD00,"Indianapolis, IN",858238.0,10768.0,136.0,573.0,6251.0,3808.0,12.0,1254.66,15.85,66.76,728.35,443.7
2715,2014,FL01602,"Jacksonville, FL",856021.0,5853.0,96.0,479.0,3859.0,1419.0,12.0,683.74,11.21,55.96,450.81,165.77
2716,2014,MOKPD00,"Kansas City, MO",468417.0,5892.0,79.0,412.0,3775.0,1626.0,12.0,1257.85,16.87,87.96,805.91,347.13
2717,2014,NV00201,"Las Vegas, NV",1530899.0,12876.0,122.0,780.0,7089.0,4885.0,12.0,841.07,7.97,50.95,463.06,319.09
2719,2014,CA01900,"Los Angeles County, CA",1111939.0,5091.0,71.0,201.0,3539.0,1280.0,12.0,457.85,6.39,18.08,318.27,115.11
2720,2014,CA01942,"Los Angeles, CA",3906772.0,19171.0,260.0,1126.0,9836.0,7949.0,12.0,490.71,6.66,28.82,251.77,203.47
2724,2014,FL01300,"Miami-Dade County, FL",1195232.0,6571.0,84.0,421.0,4231.0,1835.0,12.0,549.77,7.03,35.22,353.99,153.53
2725,2014,FL01306,"Miami, FL",421996.0,4473.0,81.0,110.0,2492.0,1790.0,12.0,1059.96,19.19,26.07,590.53,424.17
2727,2014,MN02711,"Minneapolis, MN",404461.0,4093.0,31.0,389.0,1802.0,1871.0,12.0,1011.96,7.66,96.18,445.53,462.59
2729,2014,TN01901,"Nashville, TN",647689.0,7289.0,42.0,491.0,5227.0,1529.0,12.0,1125.39,6.48,75.81,807.02,236.07
2732,2014,NY03030,"New York City, NY",8473938.0,50564.0,333.0,2190.0,31460.0,16581.0,12.0,596.7,3.93,25.84,371.26,195.67
2738,2014,PAPEP00,"Philadelphia, PA",1559062.0,15925.0,248.0,1207.0,7500.0,6970.0,12.0,1021.45,15.91,77.42,481.06,447.06
2739,2014,AZ00723,"Phoenix, AZ",1529852.0,8749.0,114.0,1006.0,4677.0,2952.0,12.0,571.89,7.45,65.76,305.72,192.96
2740,2014,PAPPD00,"Pittsburgh, PA",307613.0,2455.0,69.0,91.0,1309.0,986.0,12.0,798.08,22.43,29.58,425.53,320.53
2741,2014,OR02602,"Portland, OR",615672.0,2911.0,26.0,262.0,1776.0,847.0,12.0,472.82,4.22,42.56,288.47,137.57
2747,2014,CA03711,"San Diego, CA",1368690.0,5214.0,32.0,371.0,3493.0,1318.0,12.0,380.95,2.34,27.11,255.21,96.3
2748,2014,CA03801,"San Francisco, CA",850294.0,6761.0,45.0,355.0,3137.0,3224.0,12.0,795.14,5.29,41.75,368.93,379.16
2750,2014,WASPD00,"Seattle, WA",663410.0,4005.0,26.0,154.0,2258.0,1567.0,12.0,603.7,3.92,23.21,340.36,236.2
2751,2014,MOSPD00,"St. Louis, MO",318574.0,5348.0,159.0,279.0,3348.0,1562.0,12.0,1678.73,49.91,87.58,1050.93,490.31
2760,2015,NM00101,"Albuquerque, NM",559721.0,5406.0,43.0,404.0,3273.0,1686.0,,965.84,7.68,72.18,584.76,301.22
2762,2015,GAAPD00,"Atlanta, GA",464710.0,5203.0,94.0,170.0,2944.0,1995.0,,1119.62,20.23,36.58,633.51,429.3
2767,2015,MA01301,"Boston, MA",665258.0,4702.0,38.0,240.0,2873.0,1551.0,,706.79,5.71,36.08,431.86,233.14
2769,2015,NC06001,"Charlotte, NC",877817.0,5948.0,61.0,216.0,3724.0,1947.0,,677.59,6.95,24.61,424.23,221.8
2770,2015,ILCPD00,"Chicago, IL",2728695.0,24663.0,478.0,1432.0,13104.0,9649.0,,903.84,17.52,52.48,480.23,353.61
2774,2015,TXDPD00,"Dallas, TX",1301977.0,9038.0,136.0,782.0,3943.0,4177.0,,694.18,10.45,60.06,302.85,320.82
2775,2015,CODPD00,"Denver, CO",682418.0,4599.0,53.0,548.0,2768.0,1230.0,,673.93,7.77,80.3,405.62,180.24
2776,2015,MI82349,"Detroit, MI",673225.0,11846.0,295.0,530.0,7564.0,3457.0,,1759.59,43.82,78.73,1123.55,513.5
2782,2015,TXHPD00,"Houston, TX",2275221.0,21994.0,303.0,986.0,10427.0,10278.0,,966.68,13.32,43.34,458.29,451.74
2783,2015,INIPD00,"Indianapolis, IN",863675.0,11124.0,148.0,677.0,6497.0,3802.0,,1287.98,17.14,78.39,752.25,440.21
2784,2015,FL01602,"Jacksonville, FL",867258.0,5622.0,97.0,471.0,3656.0,1398.0,,648.25,11.18,54.31,421.56,161.2
2785,2015,MOKPD00,"Kansas City, MO",473373.0,6709.0,109.0,366.0,4531.0,1703.0,,1417.28,23.03,77.32,957.17,359.76
2786,2015,NV00201,"Las Vegas, NV",1562134.0,14383.0,127.0,1107.0,8139.0,5010.0,,920.73,8.13,70.86,521.02,320.72
2788,2015,CA01900,"Los Angeles County, CA",1111939.0,5173.0,98.0,304.0,3559.0,1212.0,,465.22,8.81,27.34,320.07,109.0
2789,2015,CA01942,"Los Angeles, CA",3962726.0,25156.0,282.0,2209.0,13713.0,8952.0,,634.82,7.12,55.74,346.05,225.91
2793,2015,FL01300,"Miami-Dade County, FL",1195232.0,6179.0,86.0,379.0,4053.0,1661.0,,516.97,7.2,31.71,339.1,138.97
2794,2015,FL01306,"Miami, FL",437969.0,4473.0,75.0,80.0,2637.0,1681.0,,1021.31,17.12,18.27,602.1,383.82
2796,2015,MN02711,"Minneapolis, MN",413479.0,4395.0,47.0,407.0,2045.0,1896.0,,1062.93,11.37,98.43,494.58,458.55
2798,2015,TN01901,"Nashville, TN",658029.0,7245.0,72.0,507.0,4819.0,1847.0,,1101.02,10.94,77.05,732.34,280.69
2801,2015,NY03030,"New York City, NY",8550861.0,50088.0,352.0,2244.0,30546.0,16946.0,,585.77,4.12,26.24,357.23,198.18
2807,2015,PAPEP00,"Philadelphia, PA",1567810.0,16132.0,280.0,1322.0,7765.0,6765.0,,1028.95,17.86,84.32,495.28,431.49
2808,2015,AZ00723,"Phoenix, AZ",1559744.0,9261.0,112.0,1016.0,5113.0,3020.0,,593.75,7.18,65.14,327.81,193.62
2809,2015,PAPPD00,"Pittsburgh, PA",306870.0,2167.0,57.0,82.0,1170.0,858.0,,706.16,18.57,26.72,381.27,279.6
2810,2015,OR02602,"Portland, OR",615672.0,,,,,,,,,,,
2816,2015,CA03711,"San Diego, CA",1400467.0,5582.0,37.0,566.0,3601.0,1378.0,,398.58,2.64,40.42,257.13,98.4
2817,2015,CA03801,"San Francisco, CA",863782.0,6710.0,53.0,344.0,2703.0,3610.0,,776.82,6.14,39.82,312.93,417.93
2819,2015,WASPD00,"Seattle, WA",683700.0,4093.0,23.0,144.0,2394.0,1532.0,,598.65,3.36,21.06,350.15,224.07
2820,2015,MOSPD00,"St. Louis, MO",317095.0,5762.0,188.0,263.0,3521.0,1790.0,,1817.12,59.29,82.94,1110.39,564.5
