datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2016-03-29,6.0,7.0,5.0,7.0,12.0,6.0,17.0,9.0,14.0,7.0,5.0,7.0,4.0,9.0,7.0,8.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,7.0,9.0,10.0,13.0,9.0,10.0
2016-03-30,4.0,6.0,8.0,5.0,6.0,10.0,9.0,6.0,13.0,14.0,5.0,7.0,7.0,9.0,7.0,10.0,11.0,9.0,7.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,8.0,8.0,5.0
2016-03-31,3.0,3.0,6.0,3.0,6.0,4.0,5.0,6.0,6.0,12.0,5.0,9.0,8.0,7.0,7.0,9.0,14.0,9.0,10.0,6.0,10.0,7.0,6.0,6.0,7.0,8.0,7.0,9.0,6.0,8.0
2016-04-01,5.0,3.0,8.0,2.0,7.0,4.0,5.0,5.0,9.0,6.0,11.0,8.0,9.0,9.0,7.0,7.0,8.0,5.0,11.0,3.0,6.0,5.0,7.0,6.0,8.0,10.0,8.0,9.0,11.0,9.0
2016-04-02,6.0,4.0,6.0,3.0,5.0,5.0,3.0,8.0,4.0,5.0,6.0,5.0,8.0,7.0,12.0,14.0,15.0,8.0,16.0,8.0,8.0,8.0,9.0,6.0,10.0,7.0,4.0,4.0,10.0,8.0
2016-04-03,4.0,6.0,9.0,5.0,4.0,7.0,3.0,5.0,6.0,6.0,5.0,5.0,4.0,12.0,7.0,11.0,10.0,6.0,12.0,7.0,8.0,6.0,6.0,6.0,10.0,14.0,14.0,14.0,10.0,9.0
2016-04-04,6.0,6.0,9.0,9.0,5.0,5.0,5.0,4.0,8.0,6.0,6.0,4.0,5.0,8.0,7.0,7.0,11.0,7.0,10.0,6.0,7.0,4.0,7.0,7.0,8.0,8.0,5.0,8.0,7.0,10.0
2016-04-05,7.0,6.0,6.0,8.0,5.0,4.0,4.0,3.0,11.0,17.0,6.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,5.0,6.0,6.0,7.0,10.0,9.0,13.0
2016-04-06,5.0,4.0,9.0,6.0,7.0,5.0,9.0,6.0,11.0,14.0,6.0,9.0,6.0,9.0,7.0,9.0,7.0,11.0,12.0,6.0,7.0,8.0,4.0,10.0,7.0,8.0,8.0,7.0,8.0,5.0
2016-04-07,6.0,5.0,6.0,7.0,4.0,4.0,5.0,4.0,7.0,10.0,4.0,6.0,5.0,10.0,5.0,9.0,8.0,8.0,10.0,9.0,7.0,7.0,10.0,6.0,7.0,11.0,10.0,11.0,8.0,12.0
2016-04-08,9.0,5.0,7.0,4.0,6.0,5.0,7.0,14.0,9.0,6.0,5.0,6.0,7.0,8.0,11.0,12.0,9.0,6.0,9.0,9.0,6.0,8.0,6.0,5.0,7.0,10.0,10.0,10.0,10.0,7.0
2016-04-09,10.0,5.0,8.0,4.0,4.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,8.0,7.0,9.0,10.0,6.0,9.0,9.0,7.0,7.0,7.0,5.0,11.0,7.0,6.0,5.0,6.0,10.0
2016-04-10,5.0,5.0,7.0,6.0,5.0,5.0,7.0,8.0,5.0,11.0,7.0,9.0,8.0,11.0,8.0,7.0,9.0,9.0,10.0,5.0,6.0,8.0,4.0,9.0,4.0,6.0,4.0,9.0,6.0,8.0
2016-04-11,5.0,5.0,8.0,4.0,5.0,7.0,4.0,3.0,4.0,8.0,7.0,9.0,10.0,8.0,8.0,7.0,8.0,11.0,7.0,5.0,8.0,8.0,6.0,8.0,7.0,5.0,8.0,6.0,7.0,9.0
2016-04-12,9.0,7.0,7.0,7.0,5.0,5.0,3.0,7.0,5.0,5.0,7.0,7.0,7.0,5.0,6.0,5.0,6.0,8.0,6.0,6.0,9.0,5.0,5.0,5.0,5.0,9.0,6.0,7.0,9.0,7.0
2016-04-13,8.0,4.0,8.0,5.0,8.0,4.0,9.0,3.0,6.0,13.0,6.0,5.0,8.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,4.0,7.0,5.0,6.0,4.0,6.0,4.0,7.0,6.0,9.0
2016-04-14,5.0,11.0,9.0,6.0,17.0,6.0,8.0,4.0,8.0,9.0,3.0,3.0,5.0,6.0,9.0,5.0,5.0,4.0,6.0,6.0,6.0,8.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,9.0
2016-04-15,6.0,3.0,13.0,4.0,12.0,6.0,15.0,13.0,11.0,8.0,5.0,6.0,4.0,6.0,7.0,7.0,6.0,6.0,5.0,9.0,5.0,10.0,5.0,6.0,5.0,8.0,3.0,4.0,6.0,10.0
2016-04-16,5.0,3.0,11.0,6.0,7.0,6.0,13.0,11.0,6.0,12.0,9.0,10.0,10.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,9.0,5.0,7.0,3.0,8.0,3.0,5.0,5.0,8.0
2016-04-17,5.0,7.0,7.0,4.0,6.0,7.0,9.0,8.0,7.0,10.0,9.0,10.0,10.0,8.0,6.0,7.0,5.0,4.0,3.0,5.0,3.0,9.0,3.0,7.0,3.0,3.0,3.0,5.0,5.0,10.0
2016-04-18,5.0,8.0,10.0,4.0,7.0,7.0,5.0,5.0,10.0,3.0,6.0,5.0,11.0,6.0,7.0,7.0,5.0,3.0,3.0,4.0,6.0,6.0,3.0,7.0,4.0,4.0,4.0,5.0,7.0,7.0
2016-04-19,8.0,4.0,7.0,4.0,5.0,5.0,4.0,6.0,7.0,4.0,5.0,5.0,4.0,3.0,6.0,5.0,8.0,2.0,5.0,4.0,6.0,6.0,3.0,8.0,6.0,6.0,6.0,10.0,10.0,7.0
2016-04-20,6.0,3.0,8.0,4.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,7.0,7.0,6.0,4.0,6.0,7.0,5.0,6.0,3.0,6.0,7.0,6.0,8.0,8.0,5.0,8.0,8.0,7.0,8.0
2016-04-21,6.0,7.0,4.0,6.0,5.0,5.0,5.0,3.0,8.0,4.0,7.0,4.0,5.0,7.0,5.0,4.0,6.0,4.0,8.0,5.0,6.0,6.0,5.0,8.0,5.0,5.0,5.0,6.0,4.0,6.0
2016-04-22,4.0,4.0,5.0,7.0,7.0,5.0,12.0,7.0,11.0,4.0,5.0,5.0,6.0,7.0,6.0,5.0,8.0,5.0,6.0,4.0,6.0,6.0,5.0,7.0,3.0,7.0,5.0,6.0,6.0,9.0
2016-04-23,6.0,6.0,8.0,8.0,10.0,5.0,13.0,8.0,13.0,10.0,3.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,4.0,5.0,5.0,6.0,7.0,6.0,8.0,7.0,8.0
2016-04-24,7.0,5.0,13.0,8.0,6.0,7.0,8.0,6.0,12.0,15.0,6.0,10.0,7.0,11.0,7.0,8.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,8.0,3.0,6.0,6.0,9.0,7.0,9.0
2016-04-25,7.0,6.0,19.0,3.0,16.0,7.0,9.0,12.0,17.0,12.0,9.0,8.0,6.0,11.0,7.0,8.0,9.0,7.0,10.0,4.0,6.0,7.0,5.0,7.0,5.0,11.0,4.0,5.0,7.0,3.0
2016-04-26,5.0,6.0,12.0,3.0,16.0,7.0,8.0,11.0,17.0,12.0,7.0,9.0,8.0,8.0,7.0,15.0,7.0,5.0,9.0,4.0,6.0,4.0,5.0,5.0,9.0,13.0,6.0,7.0,8.0,6.0
2016-04-27,8.0,2.0,13.0,3.0,6.0,4.0,5.0,4.0,9.0,5.0,9.0,7.0,9.0,13.0,10.0,6.0,9.0,7.0,7.0,4.0,6.0,6.0,6.0,5.0,4.0,6.0,5.0,6.0,8.0,4.0
2016-04-28,7.0,3.0,8.0,7.0,7.0,7.0,11.0,8.0,9.0,5.0,6.0,7.0,5.0,10.0,9.0,6.0,6.0,7.0,7.0,6.0,9.0,6.0,7.0,6.0,4.0,8.0,5.0,6.0,6.0,6.0
2016-04-29,6.0,4.0,14.0,4.0,6.0,5.0,8.0,7.0,11.0,5.0,6.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,10.0,5.0,9.0,5.0,6.0
2016-04-30,7.0,4.0,17.0,3.0,7.0,7.0,12.0,8.0,6.0,9.0,8.0,7.0,12.0,9.0,9.0,9.0,8.0,3.0,8.0,6.0,6.0,8.0,4.0,8.0,5.0,7.0,4.0,6.0,7.0,7.0
2016-05-01,4.0,10.0,8.0,7.0,6.0,4.0,7.0,7.0,18.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,8.0,5.0,4.0,3.0,8.0,6.0,7.0,7.0,5.0,11.0,4.0,5.0,5.0,5.0
2016-05-02,3.0,7.0,7.0,5.0,6.0,6.0,6.0,4.0,10.0,3.0,8.0,8.0,9.0,6.0,5.0,8.0,8.0,4.0,18.0,5.0,7.0,6.0,7.0,7.0,6.0,6.0,3.0,5.0,6.0,4.0
2016-05-03,6.0,4.0,10.0,6.0,7.0,5.0,7.0,6.0,7.0,8.0,6.0,4.0,8.0,4.0,10.0,4.0,8.0,5.0,6.0,6.0,6.0,7.0,5.0,7.0,4.0,4.0,6.0,7.0,5.0,4.0
2016-05-04,12.0,4.0,9.0,5.0,6.0,4.0,9.0,6.0,7.0,6.0,4.0,8.0,6.0,6.0,9.0,10.0,8.0,10.0,9.0,7.0,8.0,7.0,3.0,7.0,5.0,6.0,5.0,7.0,6.0,6.0
2016-05-05,7.0,6.0,7.0,5.0,5.0,5.0,11.0,8.0,6.0,5.0,3.0,5.0,6.0,5.0,5.0,7.0,9.0,9.0,8.0,7.0,8.0,10.0,6.0,6.0,5.0,7.0,7.0,7.0,9.0,7.0
2016-05-06,7.0,7.0,8.0,8.0,5.0,5.0,10.0,12.0,16.0,8.0,4.0,5.0,5.0,6.0,8.0,4.0,5.0,6.0,7.0,8.0,5.0,8.0,8.0,4.0,6.0,6.0,8.0,7.0,7.0,7.0
2016-05-07,11.0,7.0,5.0,6.0,7.0,5.0,7.0,8.0,14.0,11.0,7.0,7.0,5.0,5.0,9.0,6.0,13.0,7.0,9.0,8.0,7.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,8.0,4.0
2016-05-08,5.0,9.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,11.0,10.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,8.0,10.0,12.0,10.0,11.0
2016-05-09,4.0,8.0,7.0,4.0,5.0,6.0,7.0,5.0,9.0,6.0,9.0,10.0,10.0,8.0,11.0,6.0,9.0,7.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,9.0,9.0,10.0,8.0
2016-05-10,3.0,6.0,9.0,5.0,5.0,5.0,7.0,4.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,5.0,7.0,7.0,5.0,6.0,7.0,8.0,8.0
2016-05-11,4.0,4.0,8.0,3.0,7.0,7.0,10.0,6.0,6.0,7.0,11.0,17.0,7.0,6.0,6.0,7.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,8.0,4.0,7.0,4.0,6.0,5.0,7.0
2016-05-12,4.0,3.0,8.0,5.0,5.0,4.0,6.0,3.0,8.0,5.0,7.0,10.0,5.0,8.0,8.0,7.0,7.0,5.0,7.0,4.0,7.0,6.0,3.0,5.0,5.0,6.0,7.0,5.0,4.0,5.0
2016-05-13,3.0,5.0,10.0,4.0,6.0,4.0,9.0,5.0,5.0,7.0,5.0,6.0,7.0,10.0,10.0,7.0,8.0,4.0,7.0,6.0,8.0,5.0,4.0,5.0,7.0,9.0,5.0,4.0,8.0,5.0
2016-05-14,5.0,5.0,9.0,4.0,5.0,4.0,10.0,9.0,15.0,6.0,6.0,9.0,11.0,10.0,9.0,12.0,10.0,7.0,10.0,9.0,9.0,7.0,4.0,5.0,7.0,12.0,9.0,12.0,10.0,9.0
2016-05-15,6.0,3.0,10.0,3.0,6.0,5.0,10.0,8.0,12.0,7.0,9.0,6.0,4.0,4.0,9.0,8.0,8.0,5.0,8.0,7.0,8.0,6.0,6.0,5.0,8.0,12.0,12.0,10.0,12.0,10.0
2016-05-16,5.0,5.0,13.0,3.0,6.0,5.0,7.0,8.0,9.0,7.0,5.0,9.0,5.0,6.0,7.0,4.0,7.0,4.0,5.0,5.0,11.0,9.0,4.0,7.0,5.0,9.0,10.0,13.0,11.0,11.0
2016-05-17,8.0,4.0,10.0,3.0,6.0,4.0,11.0,6.0,13.0,5.0,5.0,8.0,5.0,6.0,6.0,5.0,7.0,4.0,5.0,6.0,7.0,7.0,4.0,8.0,3.0,13.0,6.0,10.0,8.0,7.0
2016-05-18,6.0,6.0,7.0,5.0,5.0,5.0,7.0,13.0,10.0,4.0,10.0,8.0,6.0,5.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,7.0,4.0,6.0,5.0,5.0,6.0,6.0,4.0,8.0
2016-05-19,9.0,7.0,13.0,5.0,5.0,5.0,10.0,4.0,5.0,7.0,10.0,9.0,8.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,9.0,3.0,5.0,6.0,6.0,9.0,7.0
2016-05-20,6.0,4.0,19.0,4.0,6.0,5.0,14.0,9.0,5.0,7.0,4.0,4.0,7.0,4.0,5.0,3.0,6.0,4.0,7.0,7.0,5.0,6.0,4.0,6.0,5.0,3.0,4.0,5.0,6.0,7.0
2016-05-21,4.0,5.0,10.0,4.0,7.0,6.0,10.0,10.0,9.0,10.0,5.0,5.0,6.0,6.0,5.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,6.0
2016-05-22,6.0,5.0,7.0,7.0,6.0,6.0,9.0,13.0,11.0,8.0,6.0,7.0,6.0,6.0,7.0,5.0,5.0,5.0,10.0,7.0,8.0,7.0,5.0,5.0,3.0,7.0,7.0,5.0,5.0,5.0
2016-05-23,5.0,5.0,9.0,6.0,7.0,6.0,8.0,6.0,8.0,11.0,7.0,9.0,6.0,8.0,8.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,3.0,7.0,4.0,4.0,5.0,6.0
2016-05-24,3.0,4.0,8.0,4.0,6.0,5.0,10.0,6.0,10.0,10.0,7.0,7.0,6.0,5.0,7.0,4.0,7.0,4.0,6.0,4.0,6.0,6.0,5.0,5.0,4.0,5.0,8.0,4.0,5.0,5.0
2016-05-25,5.0,4.0,10.0,4.0,8.0,6.0,9.0,8.0,10.0,7.0,7.0,8.0,7.0,8.0,6.0,6.0,5.0,6.0,8.0,3.0,9.0,6.0,3.0,8.0,5.0,10.0,7.0,6.0,6.0,5.0
2016-05-26,6.0,6.0,10.0,5.0,7.0,5.0,10.0,10.0,8.0,5.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,7.0,2.0,8.0,5.0,4.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0
2016-05-27,6.0,8.0,10.0,5.0,6.0,5.0,4.0,6.0,9.0,9.0,7.0,11.0,9.0,6.0,6.0,6.0,6.0,6.0,9.0,4.0,5.0,6.0,4.0,8.0,4.0,6.0,5.0,7.0,9.0,5.0
2016-05-28,7.0,5.0,7.0,6.0,6.0,5.0,6.0,5.0,9.0,8.0,5.0,7.0,9.0,6.0,4.0,6.0,8.0,6.0,10.0,4.0,8.0,6.0,3.0,6.0,4.0,5.0,7.0,7.0,5.0,5.0
2016-05-29,7.0,5.0,6.0,7.0,6.0,4.0,5.0,10.0,9.0,6.0,8.0,7.0,6.0,4.0,7.0,5.0,8.0,3.0,6.0,5.0,9.0,6.0,6.0,6.0,3.0,8.0,6.0,7.0,9.0,5.0
2016-05-30,6.0,6.0,8.0,6.0,5.0,5.0,5.0,6.0,7.0,14.0,6.0,8.0,4.0,8.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,9.0,4.0,8.0,10.0,5.0
2016-05-31,4.0,5.0,9.0,4.0,6.0,4.0,5.0,4.0,10.0,10.0,6.0,4.0,5.0,7.0,8.0,4.0,12.0,3.0,5.0,3.0,6.0,5.0,8.0,6.0,2.0,9.0,4.0,6.0,9.0,6.0
2016-06-01,5.0,5.0,6.0,7.0,5.0,4.0,8.0,6.0,12.0,5.0,4.0,8.0,7.0,4.0,8.0,4.0,6.0,7.0,4.0,5.0,5.0,6.0,3.0,7.0,4.0,7.0,5.0,6.0,7.0,5.0
2016-06-02,6.0,4.0,7.0,8.0,5.0,5.0,4.0,8.0,9.0,7.0,10.0,4.0,9.0,4.0,6.0,3.0,6.0,4.0,4.0,5.0,5.0,4.0,3.0,6.0,3.0,7.0,5.0,6.0,7.0,6.0
2016-06-03,3.0,5.0,9.0,5.0,4.0,5.0,6.0,7.0,9.0,6.0,5.0,6.0,5.0,4.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,8.0,3.0,8.0,3.0,5.0,4.0,4.0,7.0,4.0
2016-06-04,4.0,5.0,7.0,7.0,5.0,4.0,5.0,7.0,11.0,4.0,6.0,5.0,5.0,7.0,7.0,4.0,5.0,6.0,7.0,5.0,6.0,7.0,3.0,6.0,2.0,6.0,4.0,5.0,5.0,5.0
2016-06-05,3.0,4.0,7.0,5.0,6.0,5.0,5.0,5.0,9.0,5.0,6.0,7.0,6.0,5.0,11.0,7.0,8.0,5.0,10.0,5.0,10.0,7.0,8.0,6.0,6.0,9.0,10.0,5.0,8.0,9.0
2016-06-06,2.0,6.0,10.0,5.0,5.0,6.0,7.0,5.0,13.0,9.0,7.0,5.0,4.0,5.0,14.0,5.0,10.0,3.0,10.0,8.0,8.0,8.0,5.0,8.0,7.0,14.0,7.0,6.0,10.0,7.0
2016-06-07,4.0,8.0,7.0,5.0,6.0,6.0,8.0,6.0,14.0,8.0,4.0,4.0,4.0,5.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,9.0,4.0,9.0,8.0,10.0,5.0,8.0,9.0,11.0
2016-06-08,6.0,5.0,8.0,4.0,5.0,3.0,6.0,8.0,9.0,4.0,7.0,3.0,3.0,8.0,5.0,3.0,4.0,5.0,5.0,5.0,9.0,3.0,4.0,11.0,4.0,8.0,6.0,8.0,6.0,6.0
2016-06-09,9.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,12.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,7.0,3.0,7.0,6.0,6.0,4.0,2.0
2016-06-10,7.0,2.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,8.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,8.0,2.0,7.0,4.0,5.0,4.0,6.0
2016-06-11,6.0,2.0,4.0,3.0,1.0,2.0,5.0,4.0,7.0,7.0,3.0,5.0,3.0,6.0,11.0,4.0,5.0,5.0,3.0,5.0,7.0,3.0,5.0,4.0,4.0,7.0,7.0,5.0,3.0,3.0
2016-06-12,6.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,13.0,8.0,2.0,7.0,5.0,4.0,5.0,6.0,2.0,5.0,6.0,4.0,9.0,7.0,6.0,4.0,4.0
2016-06-13,9.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,4.0,6.0,3.0,4.0,8.0,3.0,5.0,5.0,3.0,4.0,4.0,2.0,7.0,6.0,6.0,4.0,3.0
2016-06-14,8.0,3.0,6.0,5.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,6.0,4.0,9.0,5.0,4.0,5.0,7.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,6.0,4.0,2.0
2016-06-15,6.0,1.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,5.0,4.0,6.0,7.0,6.0,4.0,18.0,4.0,6.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,2.0,4.0,4.0
2016-06-16,5.0,1.0,3.0,2.0,4.0,1.0,5.0,3.0,6.0,4.0,5.0,5.0,3.0,8.0,6.0,4.0,4.0,5.0,5.0,12.0,5.0,4.0,3.0,9.0,2.0,5.0,3.0,2.0,3.0,3.0
2016-06-17,8.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,5.0,3.0,6.0,3.0,4.0,4.0,8.0,4.0,10.0,5.0,4.0,4.0,7.0,3.0,5.0,2.0,3.0,4.0,4.0
2016-06-18,8.0,3.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,7.0,4.0,4.0,5.0,5.0,4.0,8.0,2.0,5.0,7.0,6.0,2.0,2.0,2.0,3.0,3.0,4.0
2016-06-19,5.0,2.0,2.0,5.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,8.0,9.0,4.0,3.0,7.0,3.0,5.0,4.0,6.0,3.0,6.0,2.0,5.0,2.0,4.0,4.0,4.0
2016-06-20,6.0,2.0,2.0,3.0,5.0,3.0,2.0,4.0,6.0,2.0,3.0,4.0,3.0,6.0,7.0,5.0,6.0,3.0,4.0,3.0,7.0,5.0,2.0,6.0,3.0,9.0,3.0,7.0,6.0,5.0
2016-06-21,8.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,8.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,2.0,5.0,6.0,3.0,5.0,3.0,3.0,7.0,5.0
2016-06-22,5.0,2.0,2.0,3.0,2.0,2.0,5.0,4.0,5.0,2.0,4.0,5.0,3.0,13.0,4.0,7.0,5.0,5.0,3.0,6.0,6.0,3.0,3.0,6.0,2.0,4.0,5.0,4.0,4.0,4.0
2016-06-23,6.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,3.0,6.0,4.0,9.0,4.0,7.0,4.0,6.0,6.0,6.0,4.0,3.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0
2016-06-24,7.0,4.0,8.0,6.0,5.0,5.0,6.0,5.0,12.0,10.0,7.0,7.0,5.0,6.0,7.0,5.0,4.0,9.0,4.0,6.0,6.0,5.0,4.0,6.0,5.0,4.0,7.0,7.0,5.0,5.0
2016-06-25,6.0,4.0,6.0,5.0,5.0,7.0,8.0,6.0,8.0,6.0,7.0,8.0,6.0,8.0,13.0,10.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,2.0,5.0,5.0,4.0,4.0,6.0
2016-06-26,6.0,7.0,7.0,5.0,5.0,6.0,5.0,7.0,10.0,6.0,7.0,7.0,4.0,6.0,11.0,3.0,6.0,3.0,7.0,7.0,7.0,5.0,5.0,6.0,4.0,7.0,5.0,5.0,6.0,6.0
2016-06-27,4.0,6.0,13.0,6.0,6.0,4.0,3.0,7.0,10.0,7.0,5.0,8.0,3.0,4.0,8.0,3.0,8.0,6.0,7.0,4.0,8.0,5.0,5.0,5.0,5.0,10.0,5.0,7.0,6.0,6.0
2016-06-28,6.0,6.0,9.0,5.0,6.0,4.0,9.0,6.0,8.0,7.0,7.0,6.0,10.0,8.0,6.0,6.0,8.0,5.0,9.0,10.0,8.0,5.0,2.0,4.0,4.0,8.0,6.0,5.0,6.0,7.0
